u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,tunnel,junction,lanes,est_width,service,ref,area,landuse
1993453042,46435511,0,188746976,,cycleway,,False,8.704,"LINESTRING (4.8489582 52.3819155, 4.8489639 52.3818373)",,,,,,,,,,,
1993453042,1993676099,0,188745979,,cycleway,,True,68.42699999999999,"LINESTRING (4.8489582 52.3819155, 4.847983 52.3819053, 4.8479502 52.3819045)",,,,,,,,,,,
1993453044,1328322793,0,119892942,,cycleway,,True,185.663,"LINESTRING (4.8468348 52.3818771, 4.8467676 52.3835463)",,2.00,,,,,,,,,
1993453044,1993453012,0,188745979,,cycleway,,True,10.289,"LINESTRING (4.8468348 52.3818771, 4.8467629 52.3818726, 4.8466842 52.3818666)",,,,,,,,,,,
1993453046,1993453028,0,188746969,,cycleway,,True,20.509,"LINESTRING (4.8514133 52.3826344, 4.8513622 52.3826064, 4.8513213 52.3825828, 4.8513004 52.3825731, 4.8512815 52.3825633, 4.8511956 52.3825069)",,,,,,,,,,,
1993453046,2969581143,0,233869897,,cycleway,,False,19.671,"LINESTRING (4.8514133 52.3826344, 4.8512583 52.3827007, 4.8511942 52.3827309, 4.8511787 52.3827382)",,1.80,,,,,,,,,
1993453048,46424342,0,119892941,,cycleway,,True,234.07299999999998,"LINESTRING (4.8466911 52.3817355, 4.8467078 52.3808957, 4.846728 52.3807535, 4.8467868 52.3797833, 4.8467999 52.3796319)",,2.00,,,,,,,,,
1993453048,1993453053,0,188746963,,cycleway,,True,15.049,"LINESTRING (4.8466911 52.3817355, 4.8467698 52.3817385, 4.8469124 52.3817439)",,,,,,,,,,,
1993453053,1993453044,0,"[188724813, 119892942]",,cycleway,,True,16.573999999999998,"LINESTRING (4.8469124 52.3817439, 4.846912 52.3818134, 4.8468823 52.3818438, 4.8468348 52.3818771)",,2.00,,,,,,,,,
1993453053,1993453065,0,188746963,,cycleway,,True,334.71,"LINESTRING (4.8469124 52.3817439, 4.8479617 52.3817541, 4.848968 52.3817669, 4.8499483 52.3817911, 4.8501193 52.3817947, 4.8502285 52.3818081, 4.8503678 52.3818324, 4.8505687 52.3818812, 4.8507737 52.3819615, 4.8508997 52.3820404, 4.8509863 52.3820994, 4.8510264 52.3821316, 4.8510511 52.3821766, 4.8510819 52.3822206, 4.8513629 52.382454)",,,,,,,,,,,
